ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,195,2432,0,2442,-90,-75,100
1,195,2432,0,2442,-90,-74,100
1,195,2432,0,2442,-90,-73,100
1,195,2432,0,2442,-88,-78,100
1,195,2432,0,2442,-88,-75,100
1,195,2432,0,2442,-88,-74,100
1,195,2432,0,2442,-88,-73,100
1,195,2432,0,2442,-85,-78,100
1,195,2432,0,2442,-85,-75,100
1,195,2432,0,2442,-85,-74,100
1,195,2432,0,2442,-85,-73,100
1,136,2427,2437,2437,-69,-65,-90
1,136,2427,2447,2437,-69,-70,-90
1,136,2442,2437,2437,-61,-65,-90
1,136,2442,2437,2437,-60,-65,-90
1,136,2442,2447,2437,-61,-70,-90
1,136,2442,2447,2437,-60,-70,-90
1,101,2427,2432,0,-67,-72,100
1,101,2427,2437,0,-67,-75,100
1,101,2427,2447,0,-67,-77,100
1,101,2432,2432,0,-63,-72,100
1,101,2432,2437,0,-63,-75,100
1,101,2432,2447,0,-63,-77,100
1,101,2442,2432,0,-65,-72,100
1,101,2442,2432,0,-61,-72,100
1,101,2442,2437,0,-65,-75,100
1,101,2442,2437,0,-61,-75,100
1,101,2442,2447,0,-65,-77,100
1,101,2442,2447,0,-61,-77,100
1,101,2447,2432,0,-68,-72,100
1,101,2447,2437,0,-68,-75,100
1,101,2447,2447,0,-68,-77,100
1,160,0,2427,2437,-80,-89,100
1,160,0,2427,2442,-80,-83,100
1,160,0,2442,2437,-70,-89,100
1,160,0,2442,2442,-70,-83,100
1,160,0,2447,2437,-70,-89,100
1,160,0,2447,2442,-70,-83,100
1,163,2437,2427,2432,-57,-79,-90
1,163,2437,2427,2432,-57,-68,-90
1,163,2437,2427,2437,-57,-79,-92
1,163,2437,2427,2437,-57,-79,-86
1,163,2437,2427,2437,-57,-68,-92
1,163,2437,2427,2437,-57,-68,-86
1,163,2437,2437,2432,-57,-70,-90
1,163,2437,2437,2432,-57,-69,-90
1,163,2437,2437,2437,-57,-70,-92
1,163,2437,2437,2437,-57,-70,-86
1,163,2437,2437,2437,-57,-69,-92
1,163,2437,2437,2437,-57,-69,-86
1,166,2442,2427,2432,-58,-73,-84
1,166,2442,2427,2437,-58,-73,-86
1,166,2442,2427,2442,-58,-73,-82
1,166,2442,2432,2432,-58,-73,-84
1,166,2442,2432,2432,-58,-69,-84
1,166,2442,2432,2437,-58,-73,-86
1,166,2442,2432,2437,-58,-69,-86
1,166,2442,2432,2442,-58,-73,-82
1,166,2442,2432,2442,-58,-69,-82
1,166,2442,2437,2432,-58,-74,-84
1,166,2442,2437,2432,-58,-67,-84
1,166,2442,2437,2437,-58,-74,-86
1,166,2442,2437,2437,-58,-67,-86
1,166,2442,2437,2442,-58,-74,-82
1,166,2442,2437,2442,-58,-67,-82
1,161,2432,2427,2437,-66,-72,-91
1,161,2432,2427,2437,-66,-72,-88
1,161,2432,2427,2442,-66,-72,-95
1,161,2432,2427,2442,-66,-72,-81
1,161,2432,2437,2437,-66,-73,-91
1,161,2432,2437,2437,-66,-73,-88
1,161,2432,2437,2442,-66,-73,-95
1,161,2432,2437,2442,-66,-73,-81
1,162,2442,2427,2442,-61,-72,-87
1,162,2442,2427,2442,-61,-72,-85
1,162,2442,2427,2442,-61,-72,-84
1,162,2442,2432,2442,-61,-71,-87
1,162,2442,2432,2442,-61,-71,-85
1,162,2442,2432,2442,-61,-71,-84
1,162,2442,2437,2442,-61,-71,-87
1,162,2442,2437,2442,-61,-71,-85
1,162,2442,2437,2442,-61,-71,-84
1,162,2442,2442,2442,-61,-73,-87
1,162,2442,2442,2442,-61,-73,-85
1,162,2442,2442,2442,-61,-73,-84
1,131,2442,2427,2432,-60,-71,-89
1,131,2442,2427,2432,-58,-71,-89
1,131,2442,2427,2437,-60,-71,-91
1,131,2442,2427,2437,-60,-71,-89
1,131,2442,2427,2437,-58,-71,-91
1,131,2442,2427,2437,-58,-71,-89
1,127,0,2427,2437,-67,-88,100
1,127,0,2432,2437,-61,-88,100
1,119,2437,2427,2437,-60,-63,-90
1,119,2447,2427,2437,-65,-63,-90
1,140,0,2427,2437,-63,-89,100
1,140,0,2427,2437,-63,-88,100
1,140,0,2427,2437,-63,-86,100
1,140,0,2427,2437,-63,-84,100
1,140,0,2437,2437,-64,-89,100
1,140,0,2437,2437,-64,-88,100
1,140,0,2437,2437,-64,-86,100
1,140,0,2437,2437,-64,-84,100
1,140,0,2447,2437,-72,-89,100
1,140,0,2447,2437,-72,-88,100
1,140,0,2447,2437,-72,-86,100
1,140,0,2447,2437,-72,-84,100
1,170,0,2437,2427,-70,-80,100
