ssid,channel,source,signal_strength,floorid,timestamp,roomid,duplication_count
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
1,2457,cap2,-55,51,2023-12-13 16:21:03,214,6
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
1,2462,cap2,-56,51,2023-12-13 16:21:03,214,6
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
1,2462,cap2,-56,51,2023-12-13 16:21:03,214,6
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
1,2462,cap2,-56,51,2023-12-13 16:21:03,214,6
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
2,2462,cap1,-88,51,2023-12-13 16:21:03,214,10
1,2462,cap1,-83,51,2023-12-13 16:21:03,214,8
1,2462,cap1,-83,51,2023-12-13 16:21:03,214,8
1,2457,cap2,-55,51,2023-12-13 16:21:03,214,6
1,2462,cap1,-83,51,2023-12-13 16:21:03,214,8
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
1,2462,cap1,-74,51,2023-12-13 16:21:03,214,9
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
2,2462,cap2,-51,51,2023-12-13 16:21:03,214,6
2,2462,cap1,-85,51,2023-12-13 16:21:03,214,12
2,2462,cap2,-51,51,2023-12-13 16:21:03,214,6
2,2462,cap2,-51,51,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,51,2023-12-13 16:21:03,214,7
1,2457,cap2,-55,51,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,51,2023-12-13 16:21:03,214,7
2,2462,cap2,-51,51,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,51,2023-12-13 16:21:03,214,7
2,2462,cap2,-51,51,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,51,2023-12-13 16:21:03,214,7
2,2462,cap2,-51,51,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,51,2023-12-13 16:21:03,214,7
