ssid,channel,source,signal_strength,floorid,roomid
1,2462,cap3,-78,202,111
1,2462,cap3,-74,202,111
1,0,cap2,100,202,111
1,2437,cap3,-79,205,111
1,2452,cap1,-89,205,111
1,2452,cap1,-86,205,111
1,2452,cap3,-65,205,111
1,2457,cap3,-72,205,111
1,2457,cap3,-70,205,111
1,2457,cap3,-65,205,111
1,2462,cap3,-75,205,111
1,2462,cap3,-73,205,111
1,2462,cap3,-71,205,111
1,2462,cap3,-70,205,111
1,2462,cap3,-69,205,111
1,0,cap2,100,205,111
1,2452,cap3,-75,208,111
1,2452,cap3,-71,208,111
1,2457,cap3,-74,208,111
1,2457,cap3,-71,208,111
1,2457,cap3,-69,208,111
1,2462,cap3,-78,208,111
1,2462,cap3,-76,208,111
1,2462,cap3,-75,208,111
1,2462,cap3,-74,208,111
1,2462,cap3,-70,208,111
1,0,cap2,100,208,111
1,0,cap1,100,208,111
1,2452,cap1,-90,211,111
1,2452,cap3,-66,211,111
1,2452,cap3,-64,211,111
1,2457,cap3,-68,211,111
1,2457,cap3,-64,211,111
1,2457,cap3,-62,211,111
1,2457,cap3,-61,211,111
1,2462,cap3,-69,211,111
1,2462,cap3,-68,211,111
1,2462,cap3,-67,211,111
1,2462,cap3,-66,211,111
1,2462,cap3,-65,211,111
1,0,cap2,100,211,111
1,2412,cap3,-71,214,111
1,2417,cap3,-73,214,111
1,2417,cap3,-72,214,111
1,2417,cap3,-70,214,111
1,2417,cap3,-67,214,111
1,2417,cap3,-66,214,111
1,2417,cap3,-64,214,111
1,2422,cap3,-76,214,111
1,2422,cap3,-73,214,111
1,2422,cap3,-71,214,111
1,2422,cap3,-70,214,111
1,0,cap2,100,214,111
1,0,cap1,100,214,111
1,2412,cap1,-92,217,111
1,2412,cap1,-89,217,111
1,2412,cap1,-87,217,111
1,2412,cap3,-66,217,111
1,2417,cap1,-86,217,111
1,2417,cap1,-83,217,111
1,2417,cap3,-69,217,111
1,2417,cap3,-67,217,111
1,2417,cap3,-64,217,111
1,2417,cap3,-63,217,111
1,2417,cap3,-62,217,111
1,2427,cap3,-91,217,111
1,2427,cap3,-85,217,111
1,2427,cap3,-83,217,111
1,0,cap2,100,217,111
1,2412,cap3,-68,220,111
1,2417,cap3,-74,220,111
1,2417,cap3,-73,220,111
1,2417,cap3,-72,220,111
1,2417,cap3,-71,220,111
1,2417,cap3,-67,220,111
1,2417,cap3,-64,220,111
1,2422,cap3,-75,220,111
1,2422,cap3,-74,220,111
1,2422,cap3,-73,220,111
1,2422,cap3,-71,220,111
1,0,cap2,100,220,111
1,0,cap1,100,220,111
1,2412,cap3,-65,223,111
1,2412,cap3,-63,223,111
1,2417,cap3,-70,223,111
1,2417,cap3,-67,223,111
1,2417,cap3,-58,223,111
1,2417,cap3,-55,223,111
1,2422,cap3,-69,223,111
1,2422,cap3,-68,223,111
1,2422,cap3,-66,223,111
1,2427,cap3,-79,223,111
1,0,cap2,100,223,111
1,0,cap1,100,223,111
1,2412,cap3,-71,226,111
1,2412,cap3,-67,226,111
1,2417,cap3,-74,226,111
1,2417,cap3,-69,226,111
1,2417,cap3,-68,226,111
1,2417,cap3,-67,226,111
1,2417,cap3,-66,226,111
1,2417,cap3,-65,226,111
1,2422,cap3,-73,226,111
1,2422,cap3,-72,226,111
1,2422,cap3,-70,226,111
1,2427,cap3,-79,226,111
1,0,cap2,100,226,111
1,0,cap1,100,226,111
1,2412,cap3,-71,229,111
1,2412,cap3,-70,229,111
1,2412,cap3,-66,229,111
1,2417,cap3,-69,229,111
1,2417,cap3,-67,229,111
1,2417,cap3,-66,229,111
1,2417,cap3,-65,229,111
1,2417,cap3,-64,229,111
1,2417,cap3,-63,229,111
1,2422,cap3,-74,229,111
1,2422,cap3,-73,229,111
1,0,cap2,100,229,111
1,0,cap1,100,229,111
1,2412,cap3,-73,232,111
1,2412,cap3,-72,232,111
1,2412,cap3,-70,232,111
1,2412,cap3,-69,232,111
1,2417,cap3,-72,232,111
1,2417,cap3,-71,232,111
1,2417,cap3,-70,232,111
1,2417,cap3,-69,232,111
1,2417,cap3,-68,232,111
1,2422,cap3,-78,232,111
1,0,cap2,100,232,111
1,0,cap1,100,232,111
1,2412,cap1,-90,235,111
1,2412,cap1,-89,235,111
1,2412,cap1,-88,235,111
1,2412,cap3,-68,235,111
1,2412,cap3,-67,235,111
1,2412,cap3,-66,235,111
1,2412,cap3,-65,235,111
1,2417,cap3,-71,235,111
1,2417,cap3,-70,235,111
1,2417,cap3,-69,235,111
1,2417,cap3,-62,235,111
1,2422,cap3,-65,235,111
1,0,cap2,100,235,111
1,2457,cap3,-72,238,111
1,2457,cap3,-69,238,111
1,2457,cap3,-66,238,111
1,2457,cap3,-65,238,111
