ssid,latitude,longitude,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2,7.065770876,125.59645479999999,134,2457,2457,2457,-54,-54,-54
2,7.065770958,125.5964274,126,2452,2452,2452,-56,-56,-56
2,7.065772202000001,125.5964798,142,2462,2462,2462,-55,-55,-55
2,7.065775528,125.5964429,135,2462,2462,2462,-49,-49,-49
2,7.065777109,125.5964691,143,2462,2462,2462,-49,-49,-49
2,7.06577753,125.5964949,151,2457,2457,2457,-61,-61,-61
2,7.065780107999999,125.5964311,136,2462,2462,2462,-49,-49,-49
2,7.06578052,125.5964578,144,2462,2462,2462,-58,-58,-58
2,7.0657815170000005,125.59648349999999,152,2462,2462,2462,-49,-49,-49
2,7.065785182999999,125.59647220000001,153,2447,2447,2447,-54,-54,-54
2,7.065785265,125.59644740000002,145,2462,2462,2462,-55,-55,-55
2,7.065786348,125.59649840000002,161,2457,2457,2457,-79,-79,-79
2,7.065789174,125.59643600000001,146,2452,2452,2452,-61,-61,-61
2,7.065789343,125.5964619,154,2462,2462,2462,-38,-38,-38
2,7.065790175,125.59648680000001,162,2462,2462,2462,-49,-49,-49
2,7.065793335,125.596451,155,2462,2462,2462,-42,-42,-42
2,7.065793835,125.5964758,163,2462,2462,2462,-54,-54,-54
2,7.065797327,125.5964389,156,2462,2462,2462,-52,-52,-52
2,7.065797661,125.59646599999999,164,2462,2462,2462,-61,-61,-61
2,7.065800987,125.5964283,157,2462,2462,2462,-59,-59,-59
2,7.065801321,125.5964541,165,2462,2462,2462,-54,-54,-54
2,7.065804813,125.59641859999999,158,2462,2462,2462,-70,-70,-70
2,7.065806145,125.59644240000002,166,2452,2452,2452,-55,-55,-55
2,7.065809636,125.596406,159,2447,2447,2447,-64,-64,-64
2,7.06581047,125.59643170000001,167,2462,2462,2462,-57,-57,-57
2,7.065813797000001,125.596422,168,2462,2462,2462,-44,-44,-44
2,7.065814044,125.5963943,160,2452,2452,2452,-50,-50,-50
2,7.065818455,125.5964094,169,2462,2462,2462,-52,-52,-52
2,7.065823029,125.5963977,170,2462,2462,2462,-39,-39,-39
2,7.065830511000001,125.59640049999999,180,2452,2452,2452,-57,-57,-57
1,7.065778692,125.59640700000001,128,2432,2432,2432,-50,-50,-50
1,7.065793335,125.596451,155,2452,2452,2452,-66,-66,-66
1,7.065804813,125.59641859999999,158,2442,2442,2442,-59,-59,-59
1,7.065809466,125.5964947,181,2442,2442,2442,-66,-66,-66
1,7.065813797000001,125.596422,168,2447,2447,2447,-46,-46,-46
2,7.065793335,125.596451,155,2462,2462,2462,-44,-44,-44
2,7.065797661,125.59646599999999,164,2462,2462,2462,-54,-54,-54
1,7.0657614760000005,125.59645149999999,124,2437,2437,2437,-57,-57,-57
1,7.0657815170000005,125.59648349999999,152,2447,2447,2447,-62,-62,-62
1,7.0657919179999995,125.596399,139,2452,2452,2452,-69,-69,-69
1,7.065795661,125.5963876,140,2432,2432,2432,-60,-60,-60
1,7.065797327,125.5964389,156,2447,2447,2447,-48,-48,-48
1,7.065806812999999,125.5964699,174,2442,2442,2442,-58,-58,-58
2,7.065757565,125.5964365,115,2457,2457,2457,-60,-60,-60
2,7.065824607000001,125.596451,185,2452,2452,2452,-65,-65,-65
2,7.065830762999999,125.5964283,187,2452,2452,2452,-67,-67,-67
1,7.0657351020000005,125.59647790000001,101,2432,2432,2432,-64,-64,-64
1,7.0657390939999996,125.5964665,102,2432,2432,2432,-55,-55,-55
1,7.0657427539999995,125.5964558,103,2442,2442,2442,-67,-67,-67
1,7.065743091,125.5964811,111,2442,2442,2442,-49,-49,-49
1,7.065745916,125.59644490000001,104,2447,2447,2447,-71,-71,-71
1,7.065746917,125.5964692,112,2447,2447,2447,-61,-61,-61
1,7.065749742,125.596433,105,2432,2432,2432,-59,-59,-59
1,7.065750245,125.5964587,113,2442,2442,2442,-54,-54,-54
