channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
0.0,0.0,2437.0,0.0,0.0,-66.0
0.0,0.0,2442.0,0.0,0.0,-67.0
0.0,0.0,2447.0,0.0,0.0,-58.0
0.0,0.0,2447.0,0.0,0.0,-63.0
0.0,0.0,2442.0,0.0,0.0,-69.0
2442.0,0.0,2447.0,-87.0,0.0,-66.0
0.0,0.0,2447.0,0.0,0.0,-68.0
0.0,0.0,2447.0,0.0,0.0,-73.0
0.0,0.0,2447.0,0.0,0.0,-67.0
0.0,0.0,2447.0,0.0,0.0,-61.0
2442.0,0.0,2442.0,-88.0,0.0,-67.0
0.0,0.0,2437.0,0.0,0.0,-56.0
0.0,0.0,2447.0,0.0,0.0,-65.0
2427.0,0.0,2432.0,-81.0,0.0,-61.0
0.0,0.0,2437.0,0.0,0.0,-56.0
0.0,0.0,2457.0,0.0,0.0,-84.0
0.0,0.0,2447.0,0.0,0.0,-65.0
0.0,0.0,2447.0,0.0,0.0,-59.0
2442.0,0.0,2452.0,-85.0,0.0,-66.0
2442.0,0.0,2442.0,-80.0,0.0,-64.0
0.0,0.0,2442.0,0.0,0.0,-64.0
0.0,0.0,2457.0,0.0,0.0,-80.0
0.0,0.0,2442.0,0.0,0.0,-62.0
0.0,0.0,2447.0,0.0,0.0,-69.0
2442.0,0.0,2447.0,-83.0,0.0,-66.0
0.0,0.0,2442.0,0.0,0.0,-71.0
0.0,2412.0,2412.0,0.0,-98.0,-63.0
2417.0,0.0,2417.0,-80.0,0.0,-62.0
2417.0,2412.0,2412.0,-77.0,-98.0,-53.0
2417.0,0.0,2412.0,-85.0,0.0,-63.0
0.0,0.0,2412.0,0.0,0.0,-57.0
2412.0,0.0,2412.0,-79.0,0.0,-66.0
0.0,0.0,2417.0,0.0,0.0,-61.0
2417.0,0.0,2412.0,-89.0,0.0,-66.0
2417.0,0.0,2412.0,-83.0,0.0,-60.0
0.0,0.0,2417.0,0.0,0.0,-63.0
2417.0,0.0,2412.0,-79.0,0.0,-60.0
0.0,0.0,2412.0,0.0,0.0,-66.0
0.0,0.0,2412.0,0.0,0.0,-69.0
0.0,0.0,2412.0,0.0,0.0,-58.0
2417.0,0.0,2412.0,-86.0,0.0,-67.0
2417.0,0.0,2412.0,-79.0,0.0,-64.0
2412.0,0.0,2422.0,-85.0,0.0,-69.0
2412.0,0.0,2412.0,-78.0,0.0,-55.0
0.0,0.0,2412.0,0.0,0.0,-61.0
0.0,0.0,2412.0,0.0,0.0,-58.0
0.0,0.0,2427.0,0.0,0.0,-78.0
0.0,0.0,2412.0,0.0,0.0,-61.0
0.0,0.0,2417.0,0.0,0.0,-57.0
0.0,0.0,2412.0,0.0,0.0,-65.0
2417.0,0.0,2412.0,-85.0,0.0,-62.0
2412.0,0.0,2427.0,-79.0,0.0,-84.0
0.0,0.0,2412.0,0.0,0.0,-55.0
