timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T
2024-04-11 16:03:09,,-55.0,,
2024-04-11 16:03:12,,-56.0,-72.0,
2024-04-11 16:03:13,,-56.0,,
2024-04-11 16:03:14,,-56.0,,
2024-04-11 16:03:16,,-56.0,-69.0,-67.0
2024-04-11 16:03:18,,,,-67.0
2024-04-11 16:03:19,,,-79.0,
2024-04-11 16:03:24,-57.0,,,
2024-04-11 16:03:26,-57.0,,,
2024-04-11 16:03:27,-57.0,,,
2024-04-11 16:03:28,,,-92.0,
2024-04-11 16:03:29,-62.0,,,-66.0
2024-04-11 16:03:30,-62.0,,,-66.0
2024-04-11 16:03:32,,,-68.0,
2024-04-11 16:03:37,,,-80.0,
2024-04-11 16:03:42,-65.0,,-76.0,
2024-04-11 16:03:43,-65.0,,,
2024-04-11 16:03:44,-65.0,,,
2024-04-11 16:03:51,,,-69.0,-66.0
2024-04-11 16:03:52,,,,-66.0
2024-04-11 16:03:54,,,,-66.0
2024-04-11 16:03:56,,-51.0,,
2024-04-11 16:03:58,,-51.0,,
2024-04-11 16:04:04,-63.0,,,
2024-04-11 16:04:05,-63.0,,,
2024-04-11 16:04:07,-63.0,,,
2024-04-11 16:04:20,,,-81.0,
2024-04-11 16:04:23,,,-71.0,
2024-04-11 16:04:36,,,-84.0,
2024-04-11 16:04:45,-64.0,-55.0,-81.0,
2024-04-11 16:04:46,-64.0,,,
2024-04-11 16:04:47,-64.0,,,
2024-04-11 16:04:48,-64.0,,,
2024-04-11 16:04:54,,,-74.0,
2024-04-11 16:04:58,,-54.0,,
2024-04-11 16:04:59,,-54.0,,
2024-04-11 16:05:13,,-55.0,,
2024-04-11 16:05:15,,-55.0,,
2024-04-11 16:05:25,-69.0,,-86.0,
2024-04-11 16:05:27,-69.0,,,
2024-04-11 16:05:28,-69.0,,,
2024-04-11 16:05:29,-65.0,,,-64.0
2024-04-11 16:05:31,-65.0,,,-64.0
2024-04-11 16:05:32,-65.0,,,-64.0
2024-04-11 16:05:33,,,,-64.0
2024-04-11 16:05:46,,,,-66.0
2024-04-11 16:06:06,-67.0,,,
2024-04-11 16:06:08,-67.0,,,
2024-04-11 16:06:10,-68.0,-57.0,,
2024-04-11 16:06:12,-68.0,-57.0,,
2024-04-11 16:06:14,,-52.0,,
2024-04-11 16:06:16,,-52.0,,
2024-04-11 16:06:22,-69.0,,,
2024-04-11 16:06:24,-69.0,,,
2024-04-11 16:06:25,-69.0,,,
2024-04-11 16:06:26,-69.0,,,
2024-04-11 16:06:33,,-53.0,-81.0,-64.0
2024-04-11 16:06:34,,-53.0,-81.0,-64.0
2024-04-11 16:06:36,,-53.0,,-64.0
2024-04-11 16:06:37,,-53.0,,-64.0
2024-04-11 16:06:38,,,-83.0,
2024-04-11 16:06:48,-63.0,,,
2024-04-11 16:06:50,-63.0,,,
2024-04-11 16:06:53,-61.0,,,-68.0
2024-04-11 16:06:54,-61.0,,,-68.0
2024-04-11 16:06:57,,,-86.0,
2024-04-11 16:07:02,,-53.0,,
2024-04-11 16:07:04,,-53.0,,
2024-04-11 16:07:05,,-53.0,,
2024-04-11 16:07:06,,-53.0,,
2024-04-11 16:07:08,,,-82.0,
2024-04-11 16:07:12,,,,-63.0
2024-04-11 16:07:13,,,,-63.0
2024-04-11 16:07:14,,,,-63.0
2024-04-11 16:07:17,,,,-65.0
2024-04-11 16:07:18,,,,-65.0
2024-04-11 16:07:21,,,,-66.0
2024-04-11 16:07:22,,,,-66.0
2024-04-11 16:07:24,,,,-66.0
2024-04-11 16:07:26,-69.0,,-80.0,
2024-04-11 16:07:28,-69.0,,,
2024-04-11 16:07:29,-69.0,,,
2024-04-11 16:07:32,-69.0,-56.0,,-66.0
2024-04-11 16:07:33,-69.0,-56.0,,-66.0
2024-04-11 16:07:36,,,-85.0,-65.0
2024-04-11 16:07:37,,,,-65.0
2024-04-11 16:07:40,-63.0,,-80.0,
2024-04-11 16:07:41,-63.0,,,
2024-04-11 16:07:42,-63.0,,,
2024-04-11 16:07:45,,,,-64.0
2024-04-11 16:07:46,,,,-64.0
2024-04-11 16:07:47,,,,-64.0
2024-04-11 16:07:49,,-57.0,,
2024-04-11 16:08:06,-67.0,,,
2024-04-11 16:08:08,-67.0,,,
2024-04-11 16:08:09,,,-79.0,
2024-04-11 16:08:18,,-57.0,,
