timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T,Xiaomipoco_X3
2024-04-11 16:09:02,,-67.0,,-94.0,
2024-04-11 16:09:03,,-67.0,,-94.0,
2024-04-11 16:09:04,,-67.0,,-94.0,
2024-04-11 16:09:11,-80.0,-63.0,,,-81.0
2024-04-11 16:09:12,,-63.0,,,
2024-04-11 16:09:15,,-62.0,,,-71.0
2024-04-11 16:09:16,,-62.0,,,
2024-04-11 16:09:18,,-62.0,,,
2024-04-11 16:09:19,,-63.0,,,
2024-04-11 16:09:21,,-63.0,,,
2024-04-11 16:09:22,,-63.0,,,
2024-04-11 16:09:25,,-61.0,,,
2024-04-11 16:09:26,,-61.0,,,
2024-04-11 16:09:27,,-61.0,,,
2024-04-11 16:09:36,,-64.0,,,
2024-04-11 16:09:37,,-64.0,,,
2024-04-11 16:09:40,,-62.0,,,
2024-04-11 16:09:41,,-62.0,,,
2024-04-11 16:09:42,,-62.0,,,
2024-04-11 16:09:45,,-66.0,,,
2024-04-11 16:09:46,,-66.0,,,
