timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:56:12,-70.0,-51.0,-61.0
2024-04-11 15:56:14,,-53.0,
2024-04-11 15:56:15,-57.0,-53.0,
2024-04-11 15:56:16,-57.0,-53.0,-66.0
2024-04-11 15:56:17,-57.0,-53.0,-66.0
2024-04-11 15:56:25,,-61.0,
2024-04-11 15:56:26,-63.0,-61.0,-65.0
2024-04-11 15:56:27,-63.0,-61.0,
2024-04-11 15:56:30,,,-66.0
2024-04-11 15:56:31,,,-66.0
2024-04-11 15:56:32,,,-66.0
2024-04-11 15:56:34,-71.0,-54.0,
2024-04-11 15:56:36,-71.0,,
2024-04-11 15:56:39,-74.0,,-62.0
2024-04-11 15:56:40,-74.0,,-62.0
2024-04-11 15:56:43,,-50.0,-59.0
2024-04-11 15:56:44,,,-59.0
2024-04-11 15:56:46,-63.0,-62.0,-60.5
2024-04-11 15:56:48,,,-62.0
2024-04-11 15:56:49,,,-62.0
2024-04-11 15:56:50,,,-62.0
2024-04-11 15:56:53,-63.0,-52.0,-61.0
2024-04-11 15:56:54,-63.0,,-61.0
2024-04-11 15:56:56,-63.0,,-61.0
2024-04-11 15:56:57,,-49.0,-61.0
2024-04-11 15:56:59,,,-61.0
2024-04-11 15:57:01,,-52.0,
2024-04-11 15:57:08,,-46.0,
2024-04-11 15:57:09,,,-68.0
2024-04-11 15:57:10,,,-68.0
2024-04-11 15:57:11,,,-68.0
2024-04-11 15:57:13,,,-68.0
2024-04-11 15:57:14,-56.0,,
2024-04-11 15:57:15,-56.0,,
2024-04-11 15:57:16,-56.0,,
2024-04-11 15:57:17,-69.0,-57.0,-59.0
2024-04-11 15:57:20,-69.0,,
2024-04-11 15:57:21,-70.0,,-60.0
2024-04-11 15:57:22,-70.0,,-60.0
2024-04-11 15:57:24,-70.0,,-60.0
2024-04-11 15:57:25,-70.0,,
2024-04-11 15:57:26,,,-60.0
2024-04-11 15:57:28,-75.0,-47.0,-64.0
2024-04-11 15:57:30,-75.0,,-64.0
2024-04-11 15:57:31,-63.0,-52.0,-65.0
2024-04-11 15:57:37,-58.0,,-66.0
2024-04-11 15:57:39,-58.0,,-66.0
2024-04-11 15:57:40,-58.0,,-66.0
2024-04-11 15:57:42,-64.0,-53.0,
2024-04-11 15:57:43,,,-61.0
2024-04-11 15:57:44,,,-61.0
2024-04-11 15:57:47,,,-68.0
2024-04-11 15:57:49,,,-68.0
2024-04-11 15:57:51,,,-63.0
2024-04-11 15:57:52,,,-63.0
2024-04-11 15:57:53,,,-63.0
2024-04-11 15:57:55,,-47.0,
2024-04-11 15:57:56,-58.0,-47.0,-60.0
2024-04-11 15:57:57,-58.0,-47.0,
2024-04-11 15:58:00,-55.0,,-58.0
2024-04-11 15:58:02,-55.0,,-58.0
2024-04-11 15:58:04,-61.0,-51.0,-60.0
2024-04-11 15:58:05,-61.0,,-60.0
2024-04-11 15:58:06,-61.0,,-60.0
2024-04-11 15:58:09,-59.5,,-60.0
2024-04-11 15:58:10,-58.0,,
2024-04-11 15:58:11,-58.0,,
2024-04-11 15:58:12,-58.0,,
2024-04-11 15:58:15,-55.0,-50.0,
2024-04-11 15:58:16,-55.0,-50.0,
2024-04-11 15:58:17,-62.0,-57.0,-60.0
2024-04-11 15:58:19,-62.0,,-60.0
2024-04-11 15:58:21,-62.0,,-60.0
2024-04-11 15:58:22,,-60.0,-61.0
2024-04-11 15:58:24,,-60.0,-61.0
2024-04-11 15:58:26,,,-65.0
2024-04-11 15:58:28,,,-65.0
2024-04-11 15:58:30,,,-64.5
2024-04-11 15:58:36,-56.0,,-59.0
2024-04-11 15:58:37,-56.0,,-59.0
2024-04-11 15:58:39,,,-59.0
2024-04-11 15:58:40,,,-65.0
2024-04-11 15:58:41,,,-65.0
2024-04-11 15:58:42,,,-65.0
2024-04-11 15:58:43,,-51.0,
2024-04-11 15:58:49,-60.0,-52.0,-63.0
2024-04-11 15:58:50,-60.0,-52.0,-63.0
2024-04-11 15:58:51,-53.0,-58.0,-67.0
2024-04-11 15:58:53,,,-67.0
2024-04-11 15:58:54,,,-67.0
2024-04-11 15:58:58,,,-58.0
2024-04-11 15:58:59,,,-58.0
2024-04-11 15:59:00,,-56.0,-61.0
2024-04-11 15:59:02,,-56.0,-61.0
2024-04-11 15:59:03,,-56.0,-61.0
2024-04-11 15:59:04,-68.0,-64.0,-65.0
2024-04-11 15:59:07,,,-65.0
2024-04-11 15:59:08,,,-65.0
2024-04-11 15:59:09,-62.0,-55.0,-60.0
2024-04-11 15:59:11,,,-60.0
2024-04-11 15:59:12,,,-60.0
2024-04-11 15:59:13,-58.0,-52.0,-62.0
2024-04-11 15:59:16,,,-62.0
2024-04-11 15:59:17,,,-62.0
2024-04-11 15:59:18,,,-62.0
2024-04-11 15:59:20,-56.0,-60.0,-64.0
2024-04-11 15:59:21,-56.0,-60.0,
2024-04-11 15:59:22,-56.0,-60.0,
2024-04-11 15:59:25,-65.0,,-56.0
2024-04-11 15:59:26,-65.0,,-56.0
2024-04-11 15:59:27,-65.0,,-56.0
2024-04-11 15:59:29,,,-56.0
2024-04-11 15:59:35,-62.0,-50.0,-59.0
2024-04-11 15:59:39,-55.0,-62.0,-63.0
2024-04-11 15:59:40,-55.0,-62.0,-63.0
2024-04-11 15:59:43,-55.0,-62.0,-63.0
2024-04-11 15:59:44,-58.0,,-61.0
2024-04-11 15:59:49,-62.0,-51.0,-62.0
2024-04-11 15:59:52,-62.0,-51.0,-62.0
2024-04-11 15:59:53,-62.0,-51.0,-62.0
2024-04-11 15:59:54,-57.0,-49.0,-71.0
2024-04-11 15:59:56,,,-71.0
2024-04-11 15:59:57,,,-71.0
2024-04-11 15:59:58,,,-71.0
2024-04-11 16:00:00,,,-71.0
2024-04-11 16:00:01,-62.0,-53.0,-61.0
2024-04-11 16:00:02,-62.0,,
2024-04-11 16:00:03,-62.0,,
2024-04-11 16:00:04,-62.0,,
2024-04-11 16:00:06,-62.0,-51.0,
2024-04-11 16:00:07,-66.0,-51.0,-62.0
2024-04-11 16:00:08,-66.0,-51.0,-62.0
2024-04-11 16:00:12,-65.0,-52.0,-61.0
2024-04-11 16:00:13,-65.0,-52.0,
2024-04-11 16:00:14,,,-60.0
2024-04-11 16:00:18,-54.0,-52.0,-62.0
2024-04-11 16:00:22,-59.0,-55.0,-67.0
2024-04-11 16:00:27,-54.0,-51.0,-64.0
2024-04-11 16:00:29,-54.0,,-64.0
2024-04-11 16:00:30,-54.0,,-64.0
2024-04-11 16:00:31,-60.0,-50.0,-57.0
2024-04-11 16:00:35,-63.0,-51.0,-60.0
2024-04-11 16:00:41,-60.0,-55.0,-59.0
2024-04-11 16:00:42,-60.0,,-59.0
2024-04-11 16:00:43,-60.0,,-59.0
2024-04-11 16:00:45,-60.0,,-59.0
2024-04-11 16:00:46,-60.0,,-62.0
2024-04-11 16:00:47,-60.0,,-62.0
2024-04-11 16:00:48,-60.0,,-62.0
2024-04-11 16:00:55,-57.0,,-60.0
2024-04-11 16:00:56,-57.0,,-60.0
2024-04-11 16:00:58,-57.0,,-60.0
2024-04-11 16:00:59,-57.0,,-60.0
2024-04-11 16:01:00,,,-65.0
2024-04-11 16:01:01,,,-65.0
2024-04-11 16:01:04,,,-65.0
2024-04-11 16:01:05,-63.0,-59.0,
2024-04-11 16:01:06,-63.0,-59.0,-64.0
2024-04-11 16:01:08,-63.0,-59.0,-64.0
2024-04-11 16:01:09,-70.0,-58.0,-59.0
2024-04-11 16:01:11,,,-59.0
2024-04-11 16:01:12,,,-59.0
2024-04-11 16:01:13,-56.0,-53.0,
2024-04-11 16:01:18,-64.0,,-68.0
2024-04-11 16:01:19,-64.0,,-68.0
2024-04-11 16:01:20,-64.0,,-68.0
2024-04-11 16:01:21,-55.0,,-64.0
2024-04-11 16:01:22,-55.0,,
2024-04-11 16:01:24,-55.0,,
2024-04-11 16:01:25,-55.0,,
2024-04-11 16:01:26,-55.0,,-64.0
2024-04-11 16:01:28,-55.0,,-64.0
2024-04-11 16:01:30,-62.5,,-64.5
2024-04-11 16:01:33,,,-65.0
2024-04-11 16:01:35,,,-65.0
2024-04-11 16:01:36,-78.0,-50.0,-61.0
2024-04-11 16:01:37,-78.0,,
2024-04-11 16:01:38,-78.0,,
2024-04-11 16:01:39,,,-61.0
2024-04-11 16:01:41,,,-61.0
2024-04-11 16:01:42,,,-61.0
2024-04-11 16:01:43,,-55.0,-66.0
2024-04-11 16:01:45,,,-66.0
2024-04-11 16:01:46,,,-66.0
2024-04-11 16:01:47,,,-66.0
2024-04-11 16:01:50,-52.0,-47.0,-65.0
2024-04-11 16:01:51,-52.0,-47.0,-65.0
2024-04-11 16:01:52,-52.0,-47.0,-65.0
2024-04-11 16:01:55,-54.0,-52.0,-65.0
2024-04-11 16:01:56,-54.0,-52.0,
2024-04-11 16:01:59,-80.0,,
2024-04-11 16:02:00,-80.0,,-69.0
2024-04-11 16:02:01,-80.0,,
2024-04-11 16:02:02,,,-69.0
2024-04-11 16:02:04,-60.0,-54.0,
2024-04-11 16:02:05,-60.0,-54.0,-64.0
2024-04-11 16:02:12,-73.0,-56.0,-69.0
2024-04-11 16:02:13,-73.0,,
2024-04-11 16:02:14,-73.0,,
2024-04-11 16:02:16,-73.0,,
2024-04-11 16:02:17,-54.0,-58.0,-67.0
2024-04-11 16:02:18,-54.0,,-67.0
2024-04-11 16:02:19,-54.0,,-67.0
2024-04-11 16:02:21,-54.0,,-67.0
2024-04-11 16:02:22,-59.0,-51.0,-67.0
2024-04-11 16:02:26,-56.0,-59.0,-66.0
2024-04-11 16:02:27,,,-66.0
2024-04-11 16:02:28,,,-66.0
2024-04-11 16:02:30,-62.0,-50.0,-67.0
2024-04-11 16:02:31,-62.0,,-67.0
2024-04-11 16:02:32,-62.0,,-67.0
2024-04-11 16:02:39,,,-65.0
2024-04-11 16:02:40,,,-65.0
2024-04-11 16:02:42,,,-65.0
2024-04-11 16:02:43,-67.0,,-61.0
2024-04-11 16:02:44,-67.0,,
2024-04-11 16:02:45,-67.0,,
2024-04-11 16:02:47,-67.0,,
2024-04-11 16:02:49,,,-67.0
2024-04-11 16:02:52,-59.0,-53.0,-68.0
