"mac_address","ssid","channel","source","signal_strength","floorid","timestamp"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-53","41","2023-11-16 14:04:08"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-59","41","2023-11-16 14:04:08"
"6A:D2:19:82:06:D2","C2","2412","cap1","-84","41","2023-11-16 14:04:09"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-74","41","2023-11-16 14:04:09"
"6A:D2:19:82:06:D2","C2","2412","cap3","-96","41","2023-11-16 14:04:18"
"6A:D2:19:82:06:D2","C2","2417","cap2","-57","41","2023-11-16 14:04:25"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-55","41","2023-11-16 14:04:25"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-59","41","2023-11-16 14:04:25"
"6A:D2:19:82:06:D2","C2","2412","cap1","-82","41","2023-11-16 14:04:34"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-72","41","2023-11-16 14:04:34"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-83","41","2023-11-16 14:04:34"
"6A:D2:19:82:06:D2","C2","2412","cap3","-93","41","2023-11-16 14:04:44"
"6A:D2:19:82:06:D2","C2","2417","cap2","-56","41","2023-11-16 14:04:50"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-53","41","2023-11-16 14:04:50"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-61","41","2023-11-16 14:04:50"
"6A:D2:19:82:06:D2","C2","2412","cap1","-83","41","2023-11-16 14:04:59"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-75","41","2023-11-16 14:04:59"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-82","41","2023-11-16 14:04:59"
"6A:D2:19:82:06:D2","C2","2412","cap2","-58","41","2023-11-16 14:05:07"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-51","41","2023-11-16 14:05:07"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-60","41","2023-11-16 14:05:07"
"6A:D2:19:82:06:D2","C2","2412","cap1","-86","41","2023-11-16 14:05:15"
"6A:D2:19:82:06:D2","C2","2412","cap1","-87","41","2023-11-16 14:05:32"
"6A:D2:19:82:06:D2","C2","2422","cap2","-63","41","2023-11-16 14:05:34"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-54","41","2023-11-16 14:05:34"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-58","41","2023-11-16 14:05:34"
"6A:D2:19:82:06:D2","C2","2412","cap2","-63","41","2023-11-16 14:05:53"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-55","41","2023-11-16 14:05:53"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-56","41","2023-11-16 14:05:53"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-83","41","2023-11-16 14:05:59"
"6A:D2:19:82:06:D2","C2","2412","cap1","-90","41","2023-11-16 14:05:59"
"6A:D2:19:82:06:D2","C2","2412","cap2","-64","41","2023-11-16 14:06:11"
"FE:47:AD:D7:13:E2","C1","2427","cap2","-58","41","2023-11-16 14:06:11"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-60","41","2023-11-16 14:06:11"
"6A:D2:19:82:06:D2","C2","2412","cap1","-86","41","2023-11-16 14:06:26"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-78","41","2023-11-16 14:06:26"
"6A:D2:19:82:06:D2","C2","2412","cap2","-59","41","2023-11-16 14:06:29"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-67","41","2023-11-16 14:06:29"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-53","41","2023-11-16 14:06:29"
"6A:D2:19:82:06:D2","C2","2412","cap1","-85","41","2023-11-16 14:06:44"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-79","41","2023-11-16 14:06:44"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-88","41","2023-11-16 14:06:44"
"6A:D2:19:82:06:D2","C2","2422","cap2","-62","41","2023-11-16 14:06:45"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-58","41","2023-11-16 14:06:45"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-60","41","2023-11-16 14:06:45"
"6A:D2:19:82:06:D2","C2","2412","cap1","-90","32","2023-11-16 14:09:18"
"6A:D2:19:82:06:D2","C2","2412","cap2","-64","32","2023-11-16 14:09:18"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-53","32","2023-11-16 14:09:18"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-59","32","2023-11-16 14:09:18"
"6A:D2:19:82:06:D2","C2","2412","cap3","-94","32","2023-11-16 14:09:28"
"6A:D2:19:82:06:D2","C2","2412","cap1","-84","32","2023-11-16 14:09:43"
