"mac_address","ssid","signal_strength","source","channel","floorid","timestamp"
"F6:CE:87:F2:06:21","C5","2422","cap1","-55","139","2023-11-10 16:34:01"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-58","139","2023-11-10 16:34:01"
"52:39:94:90:76:D2","C10","2432","cap1","-54","139","2023-11-10 16:34:01"
"7A:6B:C2:5A:7B:88","C8","2442","cap1","-57","139","2023-11-10 16:34:01"
"F6:CE:87:F2:06:21","C5","2417","cap2","-70","139","2023-11-10 16:34:01"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-69","139","2023-11-10 16:34:01"
"52:39:94:90:76:D2","C10","2417","cap2","-68","139","2023-11-10 16:34:01"
"02:9D:2F:8D:49:90","C6","2412","cap2","-67","139","2023-11-10 16:34:01"
"52:39:94:90:76:D2","C10","2422","cap3","-87","139","2023-11-10 16:34:01"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-89","139","2023-11-10 16:34:01"
"B6:6A:AD:C1:CF:19","C4","2437","cap3","-85","139","2023-11-10 16:34:01"
"F6:CE:87:F2:06:21","C5","2417","cap1","-68","139","2023-11-10 16:34:19"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-49","139","2023-11-10 16:34:19"
"02:9D:2F:8D:49:90","C6","2422","cap1","-57","139","2023-11-10 16:34:19"
"52:39:94:90:76:D2","C10","2427","cap1","-49","139","2023-11-10 16:34:19"
"7A:6B:C2:5A:7B:88","C8","2447","cap1","-60","139","2023-11-10 16:34:19"
"52:39:94:90:76:D2","C10","2422","cap3","-87","139","2023-11-10 16:34:20"
"7A:6B:C2:5A:7B:88","C8","2432","cap3","-88","139","2023-11-10 16:34:20"
"B6:6A:AD:C1:CF:19","C4","2437","cap3","-92","139","2023-11-10 16:34:20"
"02:9D:2F:8D:49:90","C6","2417","cap2","-64","139","2023-11-10 16:34:20"
"F6:CE:87:F2:06:21","C5","2412","cap2","-74","139","2023-11-10 16:34:20"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-67","139","2023-11-10 16:34:20"
"52:39:94:90:76:D2","C10","2422","cap2","-80","139","2023-11-10 16:34:20"
"7A:6B:C2:5A:7B:88","C8","2442","cap2","-67","139","2023-11-10 16:34:20"
"F6:CE:87:F2:06:21","C5","2417","cap1","-57","139","2023-11-10 16:34:38"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-50","139","2023-11-10 16:34:38"
"02:9D:2F:8D:49:90","C6","2412","cap1","-55","139","2023-11-10 16:34:38"
"52:39:94:90:76:D2","C10","2427","cap1","-50","139","2023-11-10 16:34:38"
"7A:6B:C2:5A:7B:88","C8","2447","cap1","-67","139","2023-11-10 16:34:38"
"56:3A:A2:F8:0C:63","C3","2447","cap1","-59","139","2023-11-10 16:34:38"
"52:39:94:90:76:D2","C10","2427","cap3","-90","139","2023-11-10 16:34:38"
"1E:03:B6:E0:9E:3C","C2","2437","cap3","-87","139","2023-11-10 16:34:38"
"02:9D:2F:8D:49:90","C6","2417","cap2","-56","139","2023-11-10 16:34:38"
"F6:CE:87:F2:06:21","C5","2412","cap2","-74","139","2023-11-10 16:34:38"
