mac_address,ssid,channel,source,signal_strength,floorid,latitude,longitude,timestamp
E6:4C:39:FC:36:8B,C2,2437,cap3,-87,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2412,cap3,-88,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2412,cap1,-61,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
E6:4C:39:FC:36:8B,C2,2447,cap1,-58,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2417,cap2,-67,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
E6:4C:39:FC:36:8B,C2,2437,cap2,-70,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2422,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2417,cap1,-56,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
E6:4C:39:FC:36:8B,C2,2452,cap1,-78,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2412,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
E6:4C:39:FC:36:8B,C2,2442,cap2,-67,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2422,cap2,-74,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
E6:4C:39:FC:36:8B,C2,2437,cap2,-70,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2417,cap1,-65,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
E6:4C:39:FC:36:8B,C2,2452,cap1,-69,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2412,cap3,-87,135,7.065775527908076,125.59644291176483,11/11/2023 12:54
FE:47:AD:D7:13:E2,C1,2417,cap2,-68,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
E6:4C:39:FC:36:8B,C2,2447,cap2,-96,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
FE:47:AD:D7:13:E2,C1,2422,cap1,-68,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
E6:4C:39:FC:36:8B,C2,2432,cap1,-58,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
FE:47:AD:D7:13:E2,C1,2412,cap3,-92,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
FE:47:AD:D7:13:E2,C1,2412,cap1,-69,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
E6:4C:39:FC:36:8B,C2,2447,cap1,-63,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
FE:47:AD:D7:13:E2,C1,2412,cap2,-73,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
E6:4C:39:FC:36:8B,C2,2442,cap2,-72,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
FE:47:AD:D7:13:E2,C1,2412,cap3,-90,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
FE:47:AD:D7:13:E2,C1,2412,cap1,-59,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
E6:4C:39:FC:36:8B,C2,2447,cap1,-67,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
FE:47:AD:D7:13:E2,C1,2412,cap2,-65,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
E6:4C:39:FC:36:8B,C2,2447,cap2,-73,136,7.065780107917262,125.59643109354163,11/11/2023 13:35
FE:47:AD:D7:13:E2,C1,2412,cap3,-93,136,7.065780107917262,125.59643109354163,11/11/2023 13:36
